Instrument,Account,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Profit,Commission
NQ 03-25,SIM101,Long,2,4957.71,4981.96,2025-01-02 07:10:00,2025-01-02 09:11:00,-245.44,6.27
NQ 03-25,SIM101,Short,2,5026.11,4980.92,2025-01-02 10:20:00,2025-01-02 12:23:00,-164.27,2.09
ES 03-25,SIM101,Short,2,4910.35,4992.68,2025-01-02 13:12:00,2025-01-02 15:23:00,-216.72,8.36
NQ 03-25,SIM101,Long,1,4982.26,4946.17,2025-01-02 13:57:00,2025-01-02 15:50:00,413.43,2.09
CL 03-25,SIM101,Short,2,4947.41,5021.83,2025-01-03 07:46:00,2025-01-03 09:49:00,285.57,8.36
ES 03-25,SIM101,Long,3,5013.79,4982.5,2025-01-03 09:14:00,2025-01-03 12:48:00,514.45,6.27
CL 03-25,SIM101,Long,1,5000.39,5005.79,2025-01-03 14:31:00,2025-01-03 16:08:00,115.54,2.09
GC 03-25,SIM101,Short,1,4996.08,5041.13,2025-01-03 19:17:00,2025-01-03 19:20:00,150.18,6.27
ES 03-25,SIM101,Long,3,4999.61,4972.53,2025-01-06 10:30:00,2025-01-06 13:29:00,483.02,4.18
ES 03-25,SIM101,Long,1,4990.52,4977.1,2025-01-06 14:32:00,2025-01-06 15:20:00,-42.13,2.09
NQ 03-25,SIM101,Long,1,5079.39,4932.35,2025-01-06 19:12:00,2025-01-06 22:09:00,-483.57,8.36
ES 03-25,SIM101,Short,2,4985.7,5027.24,2025-01-06 19:14:00,2025-01-06 19:54:00,38.67,8.36
ES 03-25,SIM101,Short,2,4956.84,4977.0,2025-01-07 07:14:00,2025-01-07 09:23:00,270.04,8.36
ES 03-25,SIM101,Short,1,5002.47,5028.48,2025-01-07 09:36:00,2025-01-07 11:52:00,38.63,8.36
GC 03-25,SIM101,Long,3,4936.39,4992.26,2025-01-07 11:12:00,2025-01-07 12:50:00,-573.49,6.27
NQ 03-25,SIM101,Short,3,4955.06,4974.29,2025-01-07 13:54:00,2025-01-07 14:20:00,-205.93,8.36
