Instrument,Account,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Profit,Commission
CL 03-25,SIM101,Short,3,5052.34,4994.13,2025-01-02 03:28:00,2025-01-02 05:38:00,-300.51,6.27
ES 03-25,SIM101,Short,2,5025.11,4996.29,2025-01-02 10:30:00,2025-01-02 12:24:00,494.46,4.18
CL 03-25,SIM101,Short,1,4988.43,5081.84,2025-01-02 11:45:00,2025-01-02 14:20:00,-188.42,6.27
CL 03-25,SIM101,Long,2,4988.09,5044.53,2025-01-02 15:08:00,2025-01-02 17:53:00,-321.94,2.09
ES 03-25,SIM101,Short,3,5028.08,4991.42,2025-01-03 07:15:00,2025-01-03 07:22:00,-33.71,4.18
GC 03-25,SIM101,Long,1,4983.61,5007.66,2025-01-03 10:44:00,2025-01-03 14:17:00,-116.36,4.18
CL 03-25,SIM101,Short,1,4973.85,5004.04,2025-01-03 13:43:00,2025-01-03 15:38:00,-380.59,2.09
NQ 03-25,SIM101,Short,2,4997.1,5022.6,2025-01-03 19:54:00,2025-01-03 22:06:00,-158.59,4.18
GC 03-25,SIM101,Long,2,5044.9,4899.29,2025-01-06 03:34:00,2025-01-06 04:53:00,851.66,8.36
ES 03-25,SIM101,Short,2,4995.05,4995.31,2025-01-06 19:22:00,2025-01-06 21:25:00,334.39,8.36
CL 03-25,SIM101,Long,2,4976.41,5011.58,2025-01-06 19:26:00,2025-01-06 21:59:00,-170.37,4.18
GC 03-25,SIM101,Short,3,4996.06,5005.68,2025-01-06 21:28:00,2025-01-06 22:46:00,181.87,8.36
ES 03-25,SIM101,Long,2,5064.19,5011.77,2025-01-07 07:44:00,2025-01-07 10:16:00,151.99,2.09
GC 03-25,SIM101,Short,2,5085.86,4986.22,2025-01-07 13:53:00,2025-01-07 17:29:00,-63.81,2.09
NQ 03-25,SIM101,Long,3,4994.18,5014.92,2025-01-07 15:22:00,2025-01-07 18:33:00,-133.17,8.36
NQ 03-25,SIM101,Short,3,5035.96,4989.27,2025-01-07 19:49:00,2025-01-07 20:25:00,-174.17,8.36
GC 03-25,SIM101,Long,2,4983.4,5001.4,2025-01-08 03:33:00,2025-01-08 04:59:00,525.98,8.36
CL 03-25,SIM101,Short,3,5067.19,4918.3,2025-01-08 13:41:00,2025-01-08 14:00:00,-4.66,2.09
GC 03-25,SIM101,Long,2,4977.5,5014.71,2025-01-08 14:40:00,2025-01-08 18:39:00,272.63,4.18
NQ 03-25,SIM101,Long,2,5009.4,4975.9,2025-01-08 21:00:00,2025-01-08 21:53:00,-89.78,8.36
NQ 03-25,SIM101,Long,3,4969.98,5056.98,2025-01-09 09:46:00,2025-01-09 12:14:00,402.68,4.18
GC 03-25,SIM101,Long,2,4965.65,5026.51,2025-01-09 13:25:00,2025-01-09 16:59:00,-251.93,6.27
ES 03-25,SIM101,Short,1,5068.7,4990.62,2025-01-09 14:15:00,2025-01-09 17:42:00,-447.13,8.36
GC 03-25,SIM101,Long,3,5029.2,4958.06,2025-01-09 21:54:00,2025-01-10 01:13:00,-157.45,8.36
GC 03-25,SIM101,Long,2,5065.74,5036.84,2025-01-10 10:19:00,2025-01-10 12:10:00,-322.63,6.27
ES 03-25,SIM101,Long,1,4989.97,5000.43,2025-01-10 10:56:00,2025-01-10 14:32:00,-26.9,4.18
CL 03-25,SIM101,Short,1,5002.97,4976.6,2025-01-10 11:24:00,2025-01-10 13:39:00,-371.29,2.09
